Property Name,Property Id,Breadcrumbs,Price,Image URL,Description,Seller Name,Location,Property Type,Bathrooms,Bedrooms
2bhk semi furnished flat for rent at Calicut,8,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Thondayad', '2bhk semi furnished flat for rent at Calicut']","{'amount': '21', 'currency': '₹'}",https://apollo-singapore.akamaized.net:443/v1/files/3xme8hn2h3oz1-IN/image;s=850x0,2bhk semi furnished flat for rent at Calicut,FAISAL,"Thondayad, Kozhikode, Kerala",Apartments,3,3
2 Bedroom Flat for Rent at Calicut City,8,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in YMCA Cross Road', '2 Bedroom Flat for Rent at Calicut City']","{'amount': '40', 'currency': '₹'}",https://apollo-singapore.akamaized.net:443/v1/files/sgxgwgj9hyse3-IN/image;s=850x0,"Luxury Living at its Best! Experience the epitome of comfort and elegance with our exquisite 2 BHK luxury flat for rent in Calicut. This fully furnished flat is available for a monthly rent of just 40,000 Rs.",THOMAS ASSOCIATES REALTORS,"YMCA Cross Road, Kozhikode, Kerala",Apartments,2,2
Rooms4 Bachelor’s nd couples Rent SingleRoom 7000 DoubleRoom 5000 Each,8,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Kallai', 'Rooms4 Bachelor’s nd couples Rent SingleRoom 7000 DoubleRoom 5000 Each']","{'amount': '5', 'currency': '₹'}",https://apollo-singapore.akamaized.net:443/v1/files/6gr8jxnrpfr92-IN/image;s=850x0,"For Monthly Rent Only. Single and Double Bedroom Available. (Attached Bathroom) Near Iqra Hospital, Opp Kallayi Railway Station calicut.",NEW EVEREST LODGE,"Kallai, Kozhikode, Kerala",Builder Floors,1,1
Flat for lease,8,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in West Hill', 'Flat for lease']","{'amount': '5', 'currency': '₹'}",https://apollo-singapore.akamaized.net:443/v1/files/h1v5hembi75b1-IN/image;s=850x0,Flat for sale ,Xavier Michael,"West Hill, Kozhikode, Kerala",Apartments,1,1
House for rent,8,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Kottuli', 'House for rent']","{'amount': '10', 'currency': '₹'}",https://apollo-singapore.akamaized.net:443/v1/files/m54cq783jjbx2-IN/image;s=850x0,House for rent (first floor),Amrutha,"Kottuli, Kozhikode, Kerala",Houses & Villas,1,2
House for rent,8,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Chevayoor', 'House for rent']","{'amount': '30', 'currency': '₹'}",https://apollo-singapore.akamaized.net:443/v1/files/ydbma9oprcnb3-IN/image;s=850x0,Near to presentation school,House for rent,"Chevayoor, Kozhikode, Kerala",Houses & Villas,2,3
C10 Devi apartment,8,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Puthiyara', 'C10 Devi apartment']","{'amount': '17', 'currency': '₹'}",https://apollo-singapore.akamaized.net:443/v1/files/prgfj4hbd53a3-IN/image;s=850x0,Close to city centre,Rakesh,"Puthiyara, Kozhikode, Kerala",Apartments,2,2
Two storeyed house for rent-suitable for hostel and commercial purpose,8,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Arayedathupalam', 'Two storeyed house for rent-suitable for hostel and commercial purpose']","{'amount': '38', 'currency': '₹'}",https://apollo-singapore.akamaized.net:443/v1/files/6b85p2yaiq3s1-IN/image;s=850x0,"House for rent near Baby Memorial Hospital, Calicut suitable for hostel and other commercial accomodation",shintu,"Arayedathupalam, Kozhikode, Kerala",Houses & Villas,3,4+
4bhk bachelers or family at pottammal,8,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Pottammal', '4bhk bachelers or family at pottammal']","{'amount': '25', 'currency': '₹'}",https://apollo-singapore.akamaized.net:443/v1/files/q1svhrxte41x2-IN/image;s=850x0,4bhk well water  new home,Rental properties,"Pottammal, Kozhikode, Kerala",Houses & Villas,4,4
Duplex 4bhk with all amenities,8,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Chevarambalam', 'Duplex 4bhk with all amenities']","{'amount': '35', 'currency': '₹'}",https://apollo-singapore.akamaized.net:443/v1/files/t08r57lcg4xc1-IN/image;s=850x0,A Duplex 4 bhk is available for renting in the heart of Kozhikode city in Chevarambalam near NH bypass. Landmark is pets mall. The house is accessible also via Vellimadukunnu. All amenities are at walkable distance. Families and working bachelors are preferred.,punnia viswan,"Chevarambalam, Kozhikode, Kerala",Houses & Villas,4,4
Calicut town house 4 rent,8,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Parayanchery', 'Calicut town house 4 rent']","{'amount': '12', 'currency': '₹'}",https://apollo-singapore.akamaized.net:443/v1/files/16gmewrj8sik2-IN/image;s=850x0,Calicut  town near Kalyan jewellery prayancherry house for rent (adv)30000 rent 12000,SHERINE,"Parayanchery, Kozhikode, Kerala",Houses & Villas,1,2
3bhk independent house near Calicut town/ bypass,8,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Pottammal', '3bhk independent house near Calicut town/ bypass']","{'amount': '13', 'currency': '₹'}",https://apollo-singapore.akamaized.net:443/v1/files/jtzt6z7rj4kd1-IN/image;s=850x0,Independent house in 15 cent ,OLX User,"Pottammal, Kozhikode, Kerala",Houses & Villas,3,3
Furnished / Semi furnished 2/3 Bedroom flats.,8,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Nadakkavu', 'Furnished / Semi furnished 2/3 Bedroom flats.']","{'amount': '17', 'currency': '₹'}",https://apollo-singapore.akamaized.net:443/v1/files/6zm9jwgjwu1c3-IN/image;s=850x0,2 bhk near Bmh Furnished flat 22500 k adv 4 months ,Rajiv Nair,"Nadakkavu, Kozhikode, Kerala",Apartments,3,3
"3 bhk flat for rent at Civil station , Calicut",8,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Calicut Civil Station', '3 bhk flat for rent at Civil station , Calicut']","{'amount': '25', 'currency': '₹'}",https://apollo-singapore.akamaized.net:443/v1/files/olcncxtqbc8p2-IN/image;s=850x0,Are you looking for a Flat ?,Big Deals,"Calicut Civil Station, Kozhikode, Kerala",Apartments,3,3
2BHK House for rent,8,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in East Hill', '2BHK House for rent']","{'amount': '13', 'currency': '₹'}",https://apollo-singapore.akamaized.net:443/v1/files/gre8d6yg4y9w-IN/image;s=850x0,"Near maithra hospital, easthill edakkad road. Car parking available. ",Vishnu,"East Hill, Kozhikode, Kerala",Houses & Villas,2,2
"3bhk full furnished flat, well and kwa 24 hour security, power back up",8,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Malaparamba', '3bhk full furnished flat, well and kwa 24 hour security, power back up']","{'amount': '27', 'currency': '₹'}",https://apollo-singapore.akamaized.net:443/v1/files/k0a9ucdfo8lw-IN/image;s=850x0,"Full furnished flat ,",Rental properties,"Malaparamba, Kozhikode, Kerala",Apartments,3,3
2BHK FULLY FURNISHD FLAT FOR RENT AT THONDAYAD BYPSS NEAR CYBER PARK,8,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Thondayad', '2BHK FULLY FURNISHD FLAT FOR RENT AT THONDAYAD BYPSS NEAR CYBER PARK']","{'amount': '25', 'currency': '₹'}",https://apollo-singapore.akamaized.net:443/v1/files/ipq44yc4jnjq-IN/image;s=850x0,2BHK FULLY FURNISHD FLAT FOR RENT AT THONDAYAD BYPSS NEAR CYBER PARK,Planet Homes,"Thondayad, Kozhikode, Kerala",Apartments,3,2
Brand New luxury furnished studio flat for rent near hilite mall,8,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Thondayad', 'Brand New luxury furnished studio flat for rent near hilite mall']","{'amount': '18', 'currency': '₹'}",https://apollo-singapore.akamaized.net:443/v1/files/ok4p78r1fszi3-IN/image;s=850x0,Brand New luxury furnished studio flat for rent near hilite mall,PN PROPERTIES,"Thondayad, Kozhikode, Kerala",Apartments,1,1
1bhk fully furnished branded flat for rent at landmark world,8,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Thondayad', '1bhk fully furnished branded flat for rent at landmark world']","{'amount': '19', 'currency': '₹'}",https://apollo-singapore.akamaized.net:443/v1/files/uqxi3u1jwhfo3-IN/image;s=850x0,1bhk fully furnished branded flat for rent at landmark world,PN PROPERTIES,"Thondayad, Kozhikode, Kerala",Apartments,1,1
2 bhk Apart on 2nd Floor near Thiruvannur,8,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Mankavu', '2 bhk Apart on 2nd Floor near Thiruvannur']","{'amount': '12', 'currency': '₹'}",https://apollo-singapore.akamaized.net:443/v1/files/u4pafrbuwpnz1-IN/image;s=850x0,2 bedroom Apartment for rent in near Thiruvannur.,"S Kumar, Vaishali properties","Mankavu, Kozhikode, Kerala",Apartments,2,2
1bhk fully furnished flat for rent at Thondayad bypass,8,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Thondayad', '1bhk fully furnished flat for rent at Thondayad bypass']","{'amount': '19', 'currency': '₹'}",https://apollo-singapore.akamaized.net:443/v1/files/zg3sjequu3xj3-IN/image;s=850x0,1bhk fully furnished flat for rent at Thondayad bypass,FAISAL,"Thondayad, Kozhikode, Kerala",Apartments,1,1
3 bhk Semifurnished flat for rent at Calicut,8,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Eranjipalam', '3 bhk Semifurnished flat for rent at Calicut']","{'amount': '20', 'currency': '₹'}",https://apollo-singapore.akamaized.net:443/v1/files/efkf7df3fb741-IN/image;s=850x0,Are you looking for a Flat ?,Big Deals,"Eranjipalam, Kozhikode, Kerala",Apartments,3,3
2 bhk Luxury flat for rent at Calicut,8,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Eranjipalam', '2 bhk Luxury flat for rent at Calicut']","{'amount': '28', 'currency': '₹'}",https://apollo-singapore.akamaized.net:443/v1/files/epfrdwmoapkr-IN/image;s=850x0,Are you looking for a Flat ?,Big Deals,"Eranjipalam, Kozhikode, Kerala",Apartments,2,2
KOZHIKODE NADAKKAV TWO BEDROOM,8,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Nadakkavu', 'KOZHIKODE NADAKKAV TWO BEDROOM']","{'amount': '22', 'currency': '₹'}",https://apollo-singapore.akamaized.net:443/v1/files/zoe920ssfffe3-IN/image;s=850x0,NEW APARTMENT FOR RENT 22000/Rent,KAIRALI PROPERTIES  CALICUT,"Nadakkavu, Kozhikode, Kerala",Apartments,2,2
കോഴിക്കോട് നടക്കാവ് ഒരു ബെഡ്റൂം രണ്ടു ബെഡ്റൂം അപ്പാർട്ട്മെന്റ് വാടക,8,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Karaparambu', 'കോഴിക്കോട് നടക്കാവ് ഒരു ബെഡ്റൂം രണ്ടു ബെഡ്റൂം അപ്പാർട്ട്മെന്റ് വാടക']","{'amount': '20', 'currency': '₹'}",https://apollo-singapore.akamaized.net:443/v1/files/xapdpjf1nx15-IN/image;s=850x0,പുതിയ അപ്പാർട്ട്മെന്റ് ഫാമിലിക്ക് മാത്രം വാടക 18 19 20 പുതിയ അപ്പാർട്ട്മെന്റ്,Real Properties,"Karaparambu, Kozhikode, Kerala",Apartments,2,2
ഇതിലും നല്ലൊരു വിലാസം നഗരത്തിൽ ഇല്ല,8,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Thondayad', 'ഇതിലും നല്ലൊരു വിലാസം നഗരത്തിൽ ഇല്ല']","{'amount': '23', 'currency': '₹'}",https://apollo-singapore.akamaized.net:443/v1/files/4i3pv5uyvber2-IN/image;s=850x0,Looking for a rental option in Kozhikode ? ,Brokees,"Thondayad, Kozhikode, Kerala",Apartments,2,2
perfect ok ഫ്ലാറ്റുകൾ നോക്കാം,8,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Thondayad', 'perfect ok ഫ്ലാറ്റുകൾ നോക്കാം']","{'amount': '24', 'currency': '₹'}",https://apollo-singapore.akamaized.net:443/v1/files/rbxq1ihd1mco2-IN/image;s=850x0,കൊച്ചി നഗരത്തിൽ ഇനി ആരും ഫ്ലാറ്റ് തപ്പി അലഞ്ഞു സമയം കളയില്ല . ഈ കൊറോണ ടൈമിൽ നിങ്ങളുടെ സമയത്തിന് പൂർണമായും ബഹുമാനിച്ചുകൊണ്ട് നിങ്ങളുടെ ആഗ്രഹം പോലുള്ള നല്ല നല്ല ഫ്ലാറ്റുകൾ Brokees നിങ്ങളുടെ മുന്നിൽ തരുന്നു .,Brokees,"Thondayad, Kozhikode, Kerala",Apartments,2,2
ചേട്ടാ ഞാൻ സുന്ദരി അല്ലേ,8,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Thondayad', 'ചേട്ടാ ഞാൻ സുന്ദരി അല്ലേ']","{'amount': '26', 'currency': '₹'}",https://apollo-singapore.akamaized.net:443/v1/files/hnuznxilaj3v3-IN/image;s=850x0,Get your appointment now,Brokees,"Thondayad, Kozhikode, Kerala",Apartments,2,2
ഫ്ലാറ്റ് അതെപ്പോഴും നല്ലതാവണം,8,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Thondayad', 'ഫ്ലാറ്റ് അതെപ്പോഴും നല്ലതാവണം']","{'amount': '23', 'currency': '₹'}",https://apollo-singapore.akamaized.net:443/v1/files/ahmmkckx9by01-IN/image;s=850x0,ഫ്ലാറ്റ് എടുക്കുമ്പോൾ നല്ലതാണെങ്കിലല്ലേ ചേട്ടാ ആ ഒരു വൈബ് ഉണ്ടാവുള്ളു .  കൂടുതൽ ഫ്ലാറ്റിലും വീട്ടിലും ആയി ചെലവഴിക്കുന്ന ടൈമിൽ നിങ്ങളെടുക്കുന്നത് ആ ഒരു വൈബ് ഉള്ള ഫ്ലാറ്റ് ആണെങ്കിലല്ലേ ചേട്ടാ ഒരു സുഗമുള്ളു .,Brokees,"Thondayad, Kozhikode, Kerala",Apartments,2,2
ഫർണിച്ചർ കയ്യിലുണ്ടെങ്കിൽ കാലി ഫ്ലാറ്റ് തന്നെ കേമം,8,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Thondayad', 'ഫർണിച്ചർ കയ്യിലുണ്ടെങ്കിൽ കാലി ഫ്ലാറ്റ് തന്നെ കേമം']","{'amount': '20', 'currency': '₹'}",https://apollo-singapore.akamaized.net:443/v1/files/lnb61ytk1moi3-IN/image;s=850x0,ഫർണിച്ചർ കയ്യിലുണ്ടെങ്കിൽ പിന്നെ കാലി ഫ്ലാറ്റ് തന്നല്ലേ ചേട്ടാ ലാഭം .,Brokees,"Thondayad, Kozhikode, Kerala",Apartments,3,2
"ഫ്ലാറ്റ്, അത് മനസിന് ഇണങ്ങുന്നതാവട്ടെ",8,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Thondayad', 'ഫ്ലാറ്റ്, അത് മനസിന് ഇണങ്ങുന്നതാവട്ടെ']","{'amount': '19', 'currency': '₹'}",https://apollo-singapore.akamaized.net:443/v1/files/ujy1mp8rb6nb2-IN/image;s=850x0,വാടക ഫ്ലാറ്റും തപ്പി ഇങ്ങനെ ദിവസവും കുടുംബവുമൊത്ത് അലയാം എന്നാണോ ചേട്ടാ വിചാരിച്ചിരിക്കുന്നെ ?  അപകടമാണ് .  കൊറോണ അതീവ അപകടകാരിയും .,Brokees,"Thondayad, Kozhikode, Kerala",Apartments,2,2
സുന്ദരൻ ഫ്ലാറ്റിനു വീട്ടമ്മയെ തേടുന്നു Brokees,8,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Thondayad', 'സുന്ദരൻ ഫ്ലാറ്റിനു വീട്ടമ്മയെ തേടുന്നു Brokees']","{'amount': '26', 'currency': '₹'}",https://apollo-singapore.akamaized.net:443/v1/files/9nqtjjeb3f563-IN/image;s=850x0,Looking for a rental House in city ??,Brokees,"Thondayad, Kozhikode, Kerala",Apartments,3,3
കാലി 3ബെഡ്‌റൂം ഫ്ലാറ്റ് പിടിക്കൂ ചേച്ചീ,8,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Thondayad', 'കാലി 3ബെഡ്\u200cറൂം ഫ്ലാറ്റ് പിടിക്കൂ ചേച്ചീ']","{'amount': '23', 'currency': '₹'}",https://apollo-singapore.akamaized.net:443/v1/files/5eetee2y1wy92-IN/image;s=850x0,Looking for a rental property in Calicut?,Brokees,"Thondayad, Kozhikode, Kerala",Apartments,3,3
നല്ല ഇടം ഞങ്ങൾ നൽകാം,8,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Thondayad', 'നല്ല ഇടം ഞങ്ങൾ നൽകാം']","{'amount': '25', 'currency': '₹'}",https://apollo-singapore.akamaized.net:443/v1/files/40v1a66n5rmc2-IN/image;s=850x0,Get your appointment with Brokees now,Brokees,"Thondayad, Kozhikode, Kerala",Apartments,2,2
സുന്ദരി ഫ്ലാറ്റിൽ നിന്നാലോ,8,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Thondayad', 'സുന്ദരി ഫ്ലാറ്റിൽ നിന്നാലോ']","{'amount': '20', 'currency': '₹'}",https://apollo-singapore.akamaized.net:443/v1/files/qafb7vlqirg41-IN/image;s=850x0,Get your appointment with brokees now,Brokees,"Thondayad, Kozhikode, Kerala",Apartments,2,2
ഒരു സിമ്പിൾ ആയ ഫ്ലാറ്റിൽ താമസിച്ചാലോ ?,8,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Thondayad', 'ഒരു സിമ്പിൾ ആയ ഫ്ലാറ്റിൽ താമസിച്ചാലോ ?']","{'amount': '23', 'currency': '₹'}",https://apollo-singapore.akamaized.net:443/v1/files/2dasbbpmw31v-IN/image;s=850x0,Hi ,Brokees,"Thondayad, Kozhikode, Kerala",Apartments,2,2
"അഥിഥികൾ വന്നാൽ ഇനി പോവില്ല, കുടുങ്ങുമോ",8,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Thondayad', 'അഥിഥികൾ വന്നാൽ ഇനി പോവില്ല, കുടുങ്ങുമോ']","{'amount': '28', 'currency': '₹'}",https://apollo-singapore.akamaized.net:443/v1/files/s0a131u2gs65-IN/image;s=850x0,Looking for a rental property in Kochi ? ,Brokees,"Thondayad, Kozhikode, Kerala",Apartments,2,2
"Hilite ൽ തന്നെ ആവട്ടെ കോഴിക്കോട്ടെ മേൽവിലാസം ,",8,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Thondayad', 'Hilite ൽ തന്നെ ആവട്ടെ കോഴിക്കോട്ടെ മേൽവിലാസം ,']","{'amount': '23', 'currency': '₹'}",https://apollo-singapore.akamaized.net:443/v1/files/2fyog52wiv3a1-IN/image;s=850x0,Looking for a rental property in Calicut?,Brokees,"Thondayad, Kozhikode, Kerala",Apartments,2,2
ദാസപ്പൊ ഈ ഫ്ലാറ്റ് ഒന്ന് നോക്കിക്കേ Brokees,8,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Thondayad', 'ദാസപ്പൊ ഈ ഫ്ലാറ്റ് ഒന്ന് നോക്കിക്കേ Brokees']","{'amount': '23', 'currency': '₹'}",https://apollo-singapore.akamaized.net:443/v1/files/t8bsyzlfsxzm1-IN/image;s=850x0,Looking for a rental Flat in city ??,Brokees,"Thondayad, Kozhikode, Kerala",Apartments,3,2
"കാലി ഫ്ലാറ്റ് കീശ കാലിയാവാതെ നോക്കും എന്നാണല്ലോ പഴമൊഴി ,Brokees",8,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Thondayad', 'കാലി ഫ്ലാറ്റ് കീശ കാലിയാവാതെ നോക്കും എന്നാണല്ലോ പഴമൊഴി ,Brokees']","{'amount': '20', 'currency': '₹'}",https://apollo-singapore.akamaized.net:443/v1/files/n7dazts1bnmk-IN/image;s=850x0,ഇഷ്ടമുള്ള വാടക കാലി ഫ്ലാറ്റ് ഞങ്ങൾ നൽകാം,Brokees,"Thondayad, Kozhikode, Kerala",Apartments,2,2
